cluster_id,n_atoms,example_atoms,summary,description,key_evidence,pearson_r,p_value,n_heldout
27,9,0;191;681;741;871;1020;1045;1324;1370,"The detector activates on bradycardic rhythms or irregular rhythms with slow to normal ventricular rates (HR ≤83 bpm), consistently avoiding tachycardia.","All 30 activated ECGs demonstrate heart rates ≤83 bpm, with most showing significant bradycardia (HR <60 bpm) or normal rates below 75 bpm. The activated group includes predominantly atrial fibrillation with slow ventricular response (18/30 cases), sinus bradycardia with arrhythmia, and PACs. In stark contrast, 5 of 8 control ECGs show tachycardia (HR >100 bpm, ranging 111-149 bpm), with the remaining 3 controls showing sinus rhythm at rates of 58-76 bpm rather than irregular rhythms. The detector specifically identifies non-tachycardic rhythms, particularly irregular atrial rhythms or sinus variants with controlled/slow ventricular rates.","All activated ECGs have HR ≤83 bpm (mean ~60 bpm), with 63% showing bradycardia (HR <60 bpm); Control group includes 5/8 cases with tachycardia (HR 111-149 bpm), which are completely absent in activated group; 18/30 activated ECGs show atrial fibrillation with slow ventricular response, versus only 1/8 controls with AF (which had rapid ventricular response at 149 bpm)",0.843386456415928,2.2781934939824485e-07,24
64,21,2;21;41;204;208;241;295;346;384;452,The detector activates on ECGs showing left ventricular hypertrophy (LVH) with secondary repolarization abnormalities and associated ST-T wave changes.,"All 30 activated ECGs demonstrate LVH with secondary repolarization abnormality, manifesting as extensive ST-T wave changes described as likely due to hypertrophy and/or ischemia. The activated group consistently shows leftward QRS axis (ranging from -90° to +53°, with most between -3° and -55°) and significant ST-T abnormalities in lateral, anterolateral, or extensive distributions. In stark contrast, the control group consists of normal ECGs or those with conduction abnormalities but WITHOUT LVH or secondary repolarization changes, and notably lacking the ST-T wave abnormalities that characterize the activated group.","100% of activated ECGs (30/30) have explicit mention of 'LVH with secondary repolarization abnormality' or 'ST-T changes due to hypertrophy and/or ischemia'; 0% of control ECGs (0/8) show LVH with secondary repolarization abnormality - controls are either normal or have isolated conduction defects; Activated ECGs show consistent leftward axis deviation and extensive/lateral ST-T changes secondary to LVH, while control ECGs lack these repolarization abnormalities",0.9235936470075462,1.2500191321634412e-10,24
76,49,3;9;54;109;126;132;161;180;214;223,The detector activates on atrial fibrillation,"All 30 activated ECGs demonstrate atrial fibrillation (or possible/probable atrial fibrillation/flutter variants), representing the absence of organized atrial activity and irregular ventricular response. In contrast, all 8 control ECGs show sinus rhythm (including sinus tachycardia and sinus bradycardia), characterized by regular P waves and organized atrial activity. This is the single defining discriminator between the groups - the presence versus absence of atrial fibrillation as the underlying rhythm.","100% of activated ECGs (30/30) explicitly state 'atrial fibrillation' or 'probable/possible atrial fibrillation/flutter' in their interpretations; 100% of control ECGs (8/8) demonstrate sinus rhythm variants (sinus rhythm, sinus tachycardia, or sinus bradycardia) with organized atrial activity; The detector distinguishes irregularly irregular ventricular rhythm from atrial fibrillation versus regular sinus rhythm, independent of conduction abnormalities, axis deviation, or other ECG findings present in both groups",0.8427392753296292,2.3763513515623926e-07,24
45,21,4;10;130;304;382;414;438;461;567;580,"The detector activates on ECGs with poor data quality, specifically those with one or more unsuitable precordial leads (V1-V6) for analysis.","The activated ECGs universally contain warnings about leads being unsuitable for analysis, with particular concentration in the precordial leads (V1-V6) and sometimes limb leads. In stark contrast, all 8 control ECGs have complete, analyzable data across all leads with no warnings about unsuitable leads. This pattern represents technical data quality issues such as poor electrode contact, artifact, or lead displacement that render specific leads uninterpretable while the remaining leads may still provide some diagnostic information.","100% of activated ECGs (30/30) contain explicit 'Lead(s) unsuitable for analysis' warnings, predominantly affecting precordial leads V1-V6; 0% of control ECGs (0/8) have any unsuitable leads - all have complete, analyzable 12-lead data; Most activated ECGs show V2 as unsuitable (appears in 13/30 cases), followed by V3, V1, and other precordial leads, indicating poor precordial electrode placement or contact as the common technical issue",0.7907857259195468,4.240697745768616e-06,24
1,18,5;81;376;502;542;603;805;816;928;956,"The detector activates on ECGs with narrow QRS complexes (typically <100ms), regardless of rhythm or other abnormalities.","The activated group consistently shows narrow QRS durations ranging from 62-100ms (mean ~78ms), indicating normal intraventricular conduction. In stark contrast, the control group uniformly demonstrates wide QRS complexes ranging from 89-114ms (mean ~103ms), suggesting conduction delays, bundle branch blocks, or fascicular blocks. This pattern holds across diverse rhythms (sinus, atrial fibrillation, atrial pacing, flutter) and various ECG abnormalities in both groups, making QRS duration the sole distinguishing feature.","All 30 activated ECGs have QRS duration ≤100ms (range 62-100ms, predominantly 66-90ms); All 8 control ECGs have QRS duration ≥89ms (range 89-114ms, predominantly >100ms); The QRS duration threshold appears to be approximately 100ms, separating narrow from wide complexes independent of rhythm, axis, or pathology",0.8055397803954921,2.04264253466263e-06,24
68,13,6;23;125;415;546;568;758;949;1075;1146,"The detector activates on ECG recordings with severe technical failure, missing data, or processing errors that prevent basic interpretation.","All activated ECGs share critical data quality problems: HR cannot be determined (HR=?), QRS axis shows either impossible values (29999°) or defaults to 0°, and error messages indicate either complete lead absence ('All 12 leads are missing'), analysis failure ('Recording unsuitable for analysis - please repeat'), or insufficient measurable leads. In contrast, all control ECGs have valid numerical measurements (HR 49-91 bpm, QRS 80-150ms, QT 332-458ms, physiologic QRS axes) and interpretable rhythm diagnoses, despite some having clinical abnormalities.","Indeterminate heart rate (HR=?) in all activated ECGs versus measurable HR (49-91 bpm) in all controls; Impossible/placeholder QRS axis values (29999° or 0°) in activated group versus physiologic axes (-30° to +110° range) in controls; Explicit error messages indicating missing leads, analysis failure, or unsuitable recording quality in activated ECGs versus successful interpretations with rhythm diagnoses in controls",0.9989790433203297,4.3069813487633005e-31,24
36,45,7;61;67;235;264;319;331;367;395;410,"The detector activates on ECGs with artificial pacing and/or severe intraventricular conduction delay (QRS ≥108ms), specifically at a heart rate of approximately 60 bpm.","All activated ECGs show either pacemaker rhythms (A-V sequential, atrial, or ventricular pacing) or significant conduction abnormalities (LBBB, RBBB, IV conduction defect, WPW pattern) with markedly prolonged QRS duration (108-182ms). Additionally, all activated cases demonstrate a stereotyped heart rate of 59-61 bpm, strongly suggesting rate-controlled pacing. In contrast, control ECGs show normal sinus rhythm with normal QRS durations (70-100ms), higher variable heart rates (64-109 bpm), and no pacing artifacts.","Presence of pacemaker rhythm (atrial, ventricular, or A-V sequential pacing) in 80% of activated cases; Severely prolonged QRS duration ≥108ms (range 108-182ms) in all activated cases versus normal QRS 70-100ms in controls; Fixed heart rate of 59-61 bpm in all activated cases versus variable HR 64-109 bpm in controls, indicating rate-controlled pacing or severe conduction disease",0.8543891559999878,1.0789637306307257e-07,24
48,15,8;16;62;138;195;245;256;343;478;815,The detector activates on sinus tachycardia with heart rate ≥102 bpm,"All 30 activated ECGs demonstrate sinus tachycardia with heart rates ranging from 102-117 bpm (mean ~108 bpm), with one case of atrial fibrillation at HR=108. In stark contrast, all 8 control ECGs show heart rates in the normal range of 65-88 bpm (mean ~74 bpm), primarily characterized as sinus rhythm. The defining feature is the sustained elevated heart rate above 100 bpm, representing the threshold for tachycardia.","Heart rate ≥102 bpm in all activated cases (100% prevalence) versus 65-88 bpm in all control cases; Explicit diagnosis of 'Sinus tachycardia' in 29/30 activated cases (96.7%), with 1 atrial fibrillation case still meeting tachycardia criteria; Complete absence of tachycardia in control group - all classified as 'Sinus rhythm' or 'Sinus arrhythmia' with normal heart rates",0.5956251899248507,0.0021338470681176065,24
61,30,11;28;117;178;194;197;302;402;446;470,"The detector activates on atrial fibrillation or atrial flutter with rapid or uncontrolled ventricular response, typically accompanied by extensive or inferior/lateral ST-T wave changes.","The activated group uniformly demonstrates atrial fibrillation (or possible atrial flutter) with elevated heart rates (87-173 bpm, mostly >110 bpm), whereas the control group shows predominantly normal sinus rhythm (5 of 8 cases) with normal or bradycardic rates (59-79 bpm in sinus rhythm cases). All 29 interpretable activated ECGs show atrial fibrillation/flutter, with 27 specifically noting rapid/uncontrolled ventricular response. The activated group consistently shows ST-T wave abnormalities (extensive, inferior/lateral, or nonspecific changes often attributed to ischemia or hypertrophy), while control ECGs either have normal ST-T segments or show isolated infarct patterns in sinus rhythm.","Atrial fibrillation or atrial flutter present in 100% of activated cases (29/29 interpretable) versus 12.5% of controls (1/8); Rapid or uncontrolled ventricular response (HR typically >100 bpm) in activated group versus predominantly normal sinus rhythm with HR 59-79 bpm in controls; Extensive or inferior/lateral ST-T wave changes present in all activated cases, often described as possibly ischemic or related to rate/hypertrophy",0.8414127349488822,2.5894540418705963e-07,24
65,41,12;64;115;119;179;201;249;374;505;572,"The detector activates on ECGs with extreme rightward or leftward QRS axis deviation, particularly in the range suggesting lead reversal or severe axis abnormalities.","All activated ECGs show QRS axis values beyond -117° (extreme left axis deviation) or beyond +141° (extreme right axis deviation), with most showing severe right axis deviation (typically -136° to -179° or +141° to +164°). Many activated cases explicitly note 'suspect arm lead reversal' or 'severe right axis deviation' in their interpretations. In contrast, all control ECGs have normal or mildly abnormal axis values (none exceed -48° leftward or show extreme rightward deviation), representing physiologically normal axis orientations.","QRS axis values in activated group: all ≤-117° or ≥+141° (extreme deviations); QRS axis values in control group: all within -48° to normal range (no extreme deviations); Frequent mentions of 'severe right axis deviation' and 'suspect arm lead reversal' in activated cases, absent in controls",0.9079480883909925,9.006311372250677e-10,24
33,83,13;17;80;106;110;114;120;124;135;153,The detector activates on narrow-complex bradycardic rhythms with heart rates of 56-60 bpm and normal QRS duration (<100ms in most cases).,"The activated group consists exclusively of ECGs with heart rates between 56-60 bpm (mean ~58 bpm), predominantly showing sinus bradycardia or sinus rhythm. These ECGs have narrow QRS complexes (62-100ms, mostly <90ms) indicating normal ventricular conduction. In stark contrast, the control group shows either faster heart rates (63-96 bpm) or significantly widened QRS complexes (100-146ms) indicating conduction abnormalities such as bundle branch blocks, ventricular pacing, or intraventricular conduction defects.","Heart rate strictly 56-60 bpm in activated group vs. 55-96 bpm in control group (with only one control at 55 bpm); Normal QRS duration (62-100ms, predominantly <90ms) in activated group vs. wide QRS (86-146ms, mostly >100ms) in control group; Preserved normal conduction patterns (sinus bradycardia/rhythm) in activated group vs. complex arrhythmias, bundle branch blocks, pacing, or atrial fibrillation in control group",0.9960379358640624,1.277522180381547e-24,24
25,27,14;156;253;294;357;389;399;463;472;496,The detector activates on atrial flutter and PACs with features suggestive of atrial flutter.,"All 30 activated ECGs demonstrate either definite atrial flutter (20 cases) or possible/borderline atrial flutter (7 cases), or sinus rhythm with PACs and borderline 1st degree AV block suggestive of underlying atrial activity abnormalities (3 cases). The control group consists exclusively of sinus rhythm (5 cases), sinus tachycardia (1 case), sinus arrhythmia (1 case), and atrial fibrillation (2 cases) — notably NONE with atrial flutter. The detector is specifically identifying the organized atrial activity pattern characteristic of atrial flutter, distinguished from the irregularly irregular baseline of atrial fibrillation or normal sinus P waves.","100% of activated ECGs (30/30) have atrial flutter (definite or possible) or PACs with AV block patterns, versus 0% (0/8) in controls; Control group includes only sinus rhythms (including sinus tachycardia and arrhythmia) and atrial fibrillation, but NO atrial flutter; The presence of organized atrial activity at rates faster than sinus (typical flutter waves) is the distinguishing feature, absent in both normal sinus rhythms and the chaotic atrial activity of atrial fibrillation seen in controls",0.6304282008104752,0.0009591596116895007,24
7,31,15;84;155;159;190;329;334;408;611;628,"The detector activates on ECGs with heart rates in the high-normal to upper tachycardic range (93-103 bpm), with a tight clustering around 98-99 bpm being most common.","The activated ECGs show a striking pattern of heart rates predominantly between 93-103 bpm, with 20 out of 30 recordings showing rates of 98-99 bpm (or 100-101 bpm), representing high-normal sinus rhythm or borderline tachycardia. Additionally, 4 recordings show bradycardia (47-50 bpm). In contrast, the control group shows more varied heart rates (60-132 bpm) without this tight clustering pattern. The activated group lacks mid-range heart rates (65-85 bpm) and exhibits a bimodal distribution with clustering at the extremes.",20/30 activated ECGs have HR between 93-103 bpm (most commonly 98-99 bpm); 4/30 activated ECGs show bradycardia (47-50 bpm) with prolonged QT intervals; Control group shows heterogeneous heart rates (60-132 bpm) without tight clustering around 98-99 bpm; Absence of mid-range heart rates (65-85 bpm) in activated group,0.9626265407820878,5.75872351922882e-14,24
35,29,18;59;79;82;86;94;168;193;225;309,"The detector activates on ECGs with extreme heart rates (either marked tachycardia ≥120 bpm OR marked bradycardia ≤65 bpm), identifying rhythms at the physiologic extremes.","The activated group consists exclusively of ECGs with heart rates either ≥120 bpm (27/30 cases showing sinus or atrial tachycardia with HR 120-133 bpm) or ≤65 bpm (3/30 cases with HR 62-65 bpm). In stark contrast, all control ECGs have heart rates in the normal-to-moderately elevated range (52-102 bpm), with most between 71-102 bpm. The detector appears to identify physiologically extreme heart rates regardless of underlying rhythm or other ECG abnormalities.","90% (27/30) of activated ECGs show marked tachycardia with HR ≥120 bpm, predominantly 124-128 bpm; 10% (3/30) of activated ECGs show normal-to-bradycardic rates of 62-65 bpm; 100% (8/8) of control ECGs have intermediate heart rates between 52-102 bpm, with none meeting the extreme rate criteria (≥120 or ≤65 bpm)",0.8271168670940175,6.236199585104042e-07,24
59,14,19;70;247;465;477;593;894;904;950;1028,The detector activates on tachycardic rhythms with heart rates ≥127 bpm.,"The activated ECGs uniformly demonstrate tachycardia with heart rates ranging from 127-190 bpm (mean ~140 bpm), including sinus tachycardia, supraventricular tachycardia, and tachycardic atrial fibrillation/flutter. In stark contrast, the control group consists exclusively of non-tachycardic rhythms with heart rates of 47-96 bpm (mean ~68 bpm). The detector is specifically capturing elevated heart rate as the distinguishing feature, independent of underlying rhythm mechanism, ST-T changes, conduction abnormalities, or other ECG findings that may be present.","All 30 activated ECGs have HR ≥127 bpm (range 127-190 bpm); All 8 control ECGs have HR ≤96 bpm (range 47-96 bpm, with 7/8 having HR ≤71 bpm); Complete separation between groups at the tachycardia threshold (~120-130 bpm), with no overlap in heart rate ranges",0.8357704033119057,3.699667574295467e-07,24
3,22,20;22;39;88;182;394;412;493;512;606,The detector activates on sinus rhythm with heart rates clustered in the 65-79 bpm range (predominantly 66 bpm) and normal electrical axis.,"All 30 activated ECGs demonstrate normal sinus rhythm with remarkably consistent heart rates (predominantly 66-67 bpm, range 65-86 bpm), whereas control ECGs show diverse rhythms including atrial fibrillation, sinus tachycardia (HR 115-147 bpm), and abnormal bradycardia (HR 55 bpm). The activated group maintains normal electrical axes (ranging from 1° to 81°, typically 10-50°), while control ECGs exhibit left axis deviation, rhythm irregularities, and conduction abnormalities. The activated pattern appears to capture physiologic sinus rhythm with normal rate control and axis, independent of repolarization abnormalities or infarct patterns that may coexist.",All 30 activated ECGs are in sinus rhythm; control group includes atrial fibrillation (2/8) and sinus tachycardia with HR 115-147 bpm; Activated group shows narrow HR distribution: 23/30 ECGs have HR 65-68 bpm (14 exactly at 66 bpm); control group ranges from 55-147 bpm; Activated group maintains normal QRS axis (1°-81°); control group includes left axis deviation and other axis abnormalities,0.803473093374404,2.2709614730808292e-06,24
30,25,24;232;266;313;439;506;525;529;551;576,"The detector activates on ECGs with significant anterior/septal/lateral ST-T wave abnormalities suggestive of ischemia, infarction, or ventricular hypertrophy with secondary repolarization changes.","Every activated ECG shows prominent ST-T wave abnormalities involving the anterior, septal, and/or lateral territories, frequently accompanied by mentions of possible/probable infarction (especially anterior/anteroseptal) or LVH with secondary repolarization changes. These ECGs consistently describe ST-T changes attributed to ischemia, infarction, hypertrophy, or CVA. The control group notably lacks these extensive repolarization abnormalities - they show either normal findings, isolated conduction defects (LBBB, RBBB), or atrial fibrillation without the characteristic anterior/lateral ST-T changes.","100% of activated ECGs mention inferior/lateral/anterior/anteroseptal ST-T changes attributed to ischemia, infarction, hypertrophy, or CVA; 27/30 (90%) activated ECGs specifically mention possible/probable anterior or anteroseptal infarct, or QRS changes in V3/V4 that cannot rule out anterior infarct; Control ECGs lack these extensive repolarization abnormalities - they show either normal tracings, bundle branch blocks, or atrial arrhythmias without the characteristic anterior/lateral territory ST-T changes",0.7257825755250079,5.967968555706998e-05,24
67,79,25;34;35;56;66;75;93;98;103;122,The detector activates on severe bradycardia (HR <45 bpm) or technically inadequate ECG recordings with analysis errors.,"The activated group is characterized by marked bradycardia with heart rates between 31-46 bpm (when measurable), compared to control group heart rates of 52-96 bpm. The majority of activated ECGs show junctional rhythms or profound sinus bradycardia, with several recordings flagged as unsuitable for analysis with data quality errors (QRSaxis=29999°). This pattern suggests the detector identifies either pathologic/severe bradycardia or technical recording failures that prevent proper rhythm analysis.",Heart rate ≤46 bpm in all measurable activated cases vs ≥52 bpm in all control cases; High frequency of junctional rhythms (10/30) in activated group vs none in control group; Multiple analysis errors and unsuitable recordings (10/30) in activated group vs 1/8 minor data quality warning in control group,0.9760695124709683,4.546863386828748e-16,24
55,27,26;140;152;157;236;315;432;490;601;670,"The detector activates on ECGs with intraventricular conduction delay, specifically QRS duration ≥108ms","All 30 activated ECGs show prolonged QRS duration (108-170ms, mean ~140ms) with bundle branch blocks (LBBB or RBBB) or incomplete LBBB being the dominant findings. In contrast, 7 of 8 control ECGs have normal QRS duration (78-104ms), with only one control showing prolonged QRS due to pacing. The activated group universally demonstrates conduction system disease, while the control group consists primarily of normal conduction or supraventricular rhythms without ventricular conduction abnormalities.","QRS duration ≥108ms in all activated cases (range 108-170ms) versus <105ms in 7/8 controls; Bundle branch block present in 29/30 activated cases (RBBB in 19, LBBB in 9, incomplete LBBB in 1) versus only 1/8 controls (paced LBBB); All activated ECGs classified as abnormal with ventricular conduction defects, while controls include normal ECGs and those abnormal for non-conduction reasons",0.7469283426986434,2.7531564296659125e-05,24
