label,n_atoms,summary,description,pearson_r,p_value,n_heldout,cluster_id,is_real
cluster_27,9,The detector activates on atrial fibrillation with slow ventricular response,"Nearly half of the HIGH-activation ECGs (12/25, 48%) show atrial fibrillation with slow ventricular response, a specific pattern indicating impaired AV nodal conduction or excessive rate control. While the CONTROL group contains atrial fibrillation cases, none demonstrate slow ventricular response - they all maintain normal (65-91 bpm) or rapid (112 bpm) ventricular rates. This represents a specific pathophysiologic state distinct from atrial fibrillation alone.",,,24,27,True
cluster_64,21,The detector activates on Left Ventricular Hypertrophy (LVH) with secondary repolarization abnormality,"96% of HIGH-activation ECGs (24/25) explicitly report LVH with secondary repolarization abnormality, while 0% of CONTROL ECGs (0/8) mention LVH despite similar overall complexity. The HIGH group consistently shows voltage criteria for LVH accompanied by strain patterns and repolarization changes. This structural cardiac abnormality with its characteristic electrical manifestations is the specific distinguishing feature.",0.4934284414046514,0.014276037780656625,24,64,True
cluster_76,49,The detector activates on atrial fibrillation,"24 of 25 HIGH-activation ECGs show atrial fibrillation (96%), while only 1 of 8 CONTROL ECGs shows atrial fibrillation (12.5%). The groups are otherwise matched on complexity features including bundle branch blocks, fascicular blocks, axis deviations, infarct patterns, and ST-T changes. The one HIGH group outlier shows 2nd degree AV block Mobitz I, which shares irregular ventricular response patterns with atrial fibrillation.",0.8409654915201865,2.6650605408223547e-07,24,76,True
cluster_45,21,"The detector activates on precordial lead quality issues, specifically leads marked as unsuitable for analysis","96% of HIGH-activation ECGs (24/25) have one or more leads flagged as 'unsuitable for analysis,' predominantly affecting precordial leads V1-V6, with V2 being the most frequently affected (14/25). In contrast, only 12.5% of CONTROL ECGs (1/8) mention any lead quality issue. This represents a systematic pattern of poor precordial lead quality or acquisition artifact rather than clinical pathology.",0.35782733363943175,0.08601910462238556,24,45,True
cluster_1,18,The detector activates on presence of atrial pacing and atrial arrhythmias in the normal-to-upper-normal heart rate range (63-86 bpm),"The HIGH group contains multiple cases of atrial pacing (n=3), atrial flutter with block (n=1), atrial fibrillation (n=1), PACs (n=1), and possible ectopic atrial rhythm (n=1), with all cases occurring in a clustered HR range of 63-86 bpm. The CONTROL group has one atrial fibrillation case but it occurs with extreme bradycardia (HR=56), and includes sinus tachycardia/bradycardia cases. The detector appears to identify atrial-level electrical abnormalities occurring within a normocardic range.",0.11428937681845815,0.5948925938118454,24,1,True
cluster_68,13,The detector activates on catastrophic data quality failure resulting in complete signal loss or uninterpretable recordings,"The HIGH-activation group shows systematic recording failure with 100% of ECGs exhibiting either complete lead loss (all 12 leads missing), analysis errors with QRS axis defaulting to 29999°, or insufficient measurable leads. In contrast, the CONTROL group contains 7 of 8 technically adequate recordings with measurable parameters (HR, QRS duration, QT interval) despite varying pathology including bradycardia, LVH, atrial fibrillation, and ischemic changes. Only 1 CONTROL ECG shows similar data quality failure.",-0.19750255944442877,0.3549312993144109,24,68,True
cluster_36,45,The detector activates on atrial pacing rhythms,"The HIGH-activation group is characterized by the overwhelming presence of atrial pacing (appearing in 16/25 ECGs, 64%). This includes isolated atrial pacing and A-V sequential pacing modes. The CONTROL group shows comparable complexity with various arrhythmias, bundle branch blocks, and infarcts, but completely lacks atrial pacing—containing only ventricular pacing (2 ECGs), atrial fibrillation (3 ECGs), sinus rhythms, and ectopic rhythms.",,,24,36,True
cluster_61,30,The detector activates on atrial fibrillation,"The HIGH group is characterized by atrial fibrillation (or possible atrial flutter) present in 24 of 25 cases (96%), with 22 cases showing rapid/uncontrolled ventricular response. The CONTROL group contains only sinus rhythms (including tachycardia, bradycardia, arrhythmia), paced rhythms, and one undetermined rhythm, but NO atrial fibrillation. Both groups show similar overall complexity with extensive ST-T changes, hypertrophy, conduction abnormalities, and infarcts, but atrial fibrillation is the singular distinguishing feature.",-0.15098608100307062,0.48128054309562174,24,61,True
cluster_65,41,"The detector activates on extreme superior and rightward (northwest) QRS axis deviation, typically beyond -120° approaching ±180°","The HIGH group shows 88% of cases with QRS axis in the -120° to ±180° range (severe right axis deviation or extreme northwest axis), often accompanied by suspected arm lead reversal warnings. The CONTROL group has normal to moderate axis deviations (range -69° to +116°) with no axes beyond -70°. This extreme axis pattern suggests the detector identifies unusual electrical axis orientations that may reflect specific conduction abnormalities, structural heart disease, or technical factors like lead misplacement.",0.23432753383765265,0.27041080344271046,24,65,True
cluster_33,83,The detector activates on heart rates in the 57-60 bpm range (sinus bradycardia or low-normal sinus rhythm),"The HIGH group shows remarkable uniformity with 24/25 ECGs having heart rates of 57-60 bpm (96%), with most classified as sinus bradycardia. In contrast, the CONTROL group has heart rates ranging from 63-102 bpm (mean ~77 bpm), with no ECGs in the 57-60 bpm range. Despite both groups having similar overall complexity (conduction blocks, ischemic changes, infarcts), the distinguishing feature is the narrow, bradycardic heart rate range.",0.03698296452716141,0.8637795073752546,24,33,True
